c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,-8,111,132,121,1125,1800,-778,640,9,45,-4,0,0,0,2382,81,30,-528,2382,1209,1257,1223,1176,0,0,0,0,0,0,0,1,0,-22,-1,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,-30,584,-127,-95,1003,-1434,2456,9002,0,19,0,1,0,0,2886,55,2,-420,2886,1360,1327,1150,1150,0,0,0,0,0,0,0,-2,0,38,-5,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,-80,185,-174,-5,856,152,6546,15594,13,-11,2,0,0,0,2906,70,-7,-415,2906,1248,1246,1167,1302,0,0,0,0,0,0,0,0,0,3,-4,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,-13,172,-99,112,1239,3448,76,11383,15,2,2,0,0,0,3291,46,-61,-340,3291,1232,1278,1274,1274,0,0,0,0,0,0,0,0,0,2,12,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,-346,-78,-57,-36,897,-1068,2273,9185,27,-21,0,0,0,0,3590,73,-19,-284,3590,1159,1154,1326,1404,0,0,0,0,0,0,0,1,1,-13,-17,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,-437,51,-20,-27,976,-2838,-656,-4608,32,1,-2,0,0,0,4346,69,38,-152,4346,1150,1150,1461,1508,0,0,0,0,0,0,0,0,0,4,-9,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,-283,298,76,-162503,-248,-337,75,-32,828,1251,-3890,-16632,0,-5,0,-3,0,0,6132,43,14,0,6132,1315,1322551,-283,-388,-15,-14,884,2105,-1632,-12054,17,-47,0,-1,0,0,7048,41,-9,0,7048,1424,1401,1375,0,0,0,0,0,0,0,1,0,-21,-8,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,-209,-841,-100,-2,948,-1495,-1571,-4182651,-274,-860,-147,15,1575,274,16189,1922,25,-97,-2,0,0,0,9246,58,-51,0,9246,1475,12951,246,131,183,-179,1327,1007,686,2044,-36,25,2,-2,0,0,10700,83,2,0,10700,1508,1513051,139,-654,328,19,1446,-1678,-16464,-1129,-18,10,2,-2,0,0,12545,52,36,60,12545,157,1616,0,0,0,0,0,0,0,5,0,-73,-3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,-65,-1038,-344,63,1561,8087,13442,-213,-32,-124,-2,-6,0,0,13500,61,29,152,13500,1567,1529,1660,1584,0,0,0,0,0,0,0,3,1,-38,-16,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3151,127,-386,-5,-59,1019,3753,8010,-3387,-21,-55,-2,-2,0,0,13500,49,14,152,13500,1540,1564,1636,1603,0,0,0,0,0,0,0,1,2,-3,-20,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203,307,448,-168,-101,1145,21575,10391,-8392,-42,39,-2,-2,4,0,14273,61,43,224,14273,1647,1508,1656,1602,0,0,0,0,0,0,0,-1,4,39,-32,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3251,2186,824,-34,346,1213,24688,5142,-5706,-187,92,0,-7,5,0,14667,70,74,260,14667,1628,1502,1668,1649,0,0,0,0,0,0,0,0,-1,22,65,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,1716,556,-110,-290,1553,2838,4959,-10223,-197,104,-18,-9,10,0,14844,77,212,276,14844,1520,1566,1694,1675,0,0,0,0,0,0,0,3,6,-9,-15,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,1760,784,-101,-66,1269,21697,5447,-7354,-188,81,-20,-11,4,0,14933,98,244,284,14933,1682,1471,1675,1622,0,0,0,0,0,0,0,3,6,-1,-8,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,2564,664,-205,-274,1139,-3143,-5172,-6744,-306,83,-20,-7,4,0,14844,96,321,276,14844,1592,1548,1655,1673,0,0,0,0,0,0,0,2,4,2,29,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,2667,-154,76,-12,608,-7110,-10726,-6500,-279,25,-2,-8,3,0,14978,113,430,287,14978,1589,1537,1689,1662,0,0,0,0,0,0,0,5,2,-31,45,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,1566,-54,62,191,1245,-3326,-4501,-6011,-418,71,-6,-56,12,0,14978,168,456,287,14978,1652,1468,1689,1653,0,0,0,0,0,0,0,1,7,4,-14,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3551,1256,140,167,466,1506,-19195,-16647,-7171,-519,174,-2,-86,27,0,14978,194,538,287,14978,1557,1526,1701,1693,0,0,0,0,0,0,0,0,0,21,47,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
