c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
6926,-2479,1405,19,182,1052,-16201,-2824,-4590,-100,27,0,-66,-20,640,13585,959,254,155,13543,1486,1458,1676,1699,80,114,76,110,168,320,244,139
6976,-3015,1257,171,-7,1139,-11257,-2640,-3125,-44,58,0,-61,-13,639,13543,967,257,155,13543,1532,1442,1680,1671,71,70,69,68,153,144,244,136
7026,-2732,1680,-109,-90,980,-9915,-7951,-2149,27,110,0,-40,-6,638,13500,982,263,152,13500,1493,1471,1667,1696,173,133,170,131,309,180,244,139
7076,-2667,1081,-78,-29,917,-2957,-6730,-3186,100,55,2,-26,-6,641,13628,1005,278,155,13543,1508,1441,1674,1696,217,38,219,38,355,-59,244,137
7126,-1915,1173,-156,47,841,5709,-4899,-2820,53,63,-4,-25,-4,640,13585,1006,254,159,13585,1490,1423,1684,1707,183,128,184,129,280,0,255,136
7176,-1387,1019,-93,9,847,-820,-5143,-3125,5,60,-127,-23,-4,639,13543,1024,253,155,13543,1423,1405,1706,1744,278,23,284,23,388,34,255,134
7226,-887,907,-102,194,797,-3445,-6974,5663,262,53,-309,32,-3,640,13585,1035,202,159,13585,1348,1363,1740,1780,166,16,172,16,286,-8,255,136
7276,-758,906,-98,27,1055,8639,-7890,13109,293,64,-427,43,-2,638,13500,1047,222,152,13500,1483,1431,1669,1722,366,15,383,16,432,-360,255,137
7326,-68,621,-224,45,1084,16452,-8256,17077,537,27,-370,104,-2,638,13500,1076,283,152,13500,1463,1465,1692,1690,385,-316,415,-340,410,-689,234,143
7376,485,-3,16,65,1063,22677,-10209,16100,608,2,-358,127,0,639,13543,1096,349,172,13713,1513,1414,1682,1715,171,-17,187,-19,303,-528,224,137
7426,2260,57,-18,51,1034,32382,-9660,16100,453,4,-368,127,0,638,13500,1113,313,152,13500,1532,1418,1660,1706,253,-352,282,-392,343,-838,234,140
7476,3470,-271,-101,136,1118,22189,-4594,16710,110,-38,-326,79,-1,639,13543,1142,372,155,13543,1553,1436,1668,1669,340,-370,388,-422,302,-512,255,146
7526,3803,-174,-21,9,960,-576,-2579,15917,-449,-20,-111,-22,0,636,13416,1166,479,143,13416,1548,1525,1608,1655,301,-243,351,-284,287,-19,255,141
7576,2610,-111,51,152,1020,-20779,-382,3527,-334,-11,-75,-21,-1,636,13416,1196,445,139,13374,1514,1507,1638,1665,271,-153,325,-184,223,250,255,143
7626,1065,-53,66,-261,973,-14431,1082,4076,-232,-8,-6,-20,-2,637,13458,1218,459,148,13458,1553,1490,1630,1657,330,-100,402,-122,270,127,234,140
7676,503,534,18,-184,952,-10830,-870,1390,-254,42,-6,-37,-1,578,11081,1243,460,100,12956,1527,1452,1633,1665,210,-32,261,-40,231,183,244,137
7726,157,993,-176,163,1072,-18704,-4349,2001,-268,70,-4,-52,0,564,10550,1269,427,0,10550,1452,1393,1573,1609,301,-30,382,-38,285,260,234,137
7776,-386,811,-23,-39,1041,-17239,-1725,2428,-259,11,-4,-56,-11,565,10588,1286,384,0,10550,1445,1411,1580,1596,261,-36,336,-47,203,194,234,139
7826,-496,1151,-153,13,601,-15042,1570,2550,-141,-42,-2,-36,-23,564,10550,1275,186,0,10550,1453,1391,1598,1590,223,-15,285,-20,66,133,255,138
