6876,18,-388,2,-50,952,304,1287,-253,-24,-34,0,-3,0,569,10738,82,74,0,10738,1521,1501,1526,1528,0,0,0,0,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6926,68,-699,203,30,1113,487,-1580,418,-13,-39,-6,-2,0,598,11861,119,23,0,11861,1528,1522,1528,1572,0,0,0,0,0,0,0,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976,324,-371,8,-6,787,853,-3411,-4159,-32,-30,-4,0,0,610,12341,145,44,40,12341,1534,1540,1603,1561,0,0,0,0,0,0,0,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7026,294,-4,-201,-141,927,3905,2447,-1229,-40,-23,-2,0,0,618,12667,73,5,71,12667,1536,1506,1592,1630,0,0,0,0,0,0,0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7076,-269,-150,9,-56,1246,7079,10443,-10079,19,-17,-2,0,0,620,12749,93,-63,80,12749,1566,1511,1639,1557,0,0,0,0,0,0,0,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7126,482,641,106,-116,1038,15380,7818,-4830,-44,64,-4,0,0,638,13500,73,-62,152,13500,1577,1523,1627,1611,0,0,0,0,0,0,0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7176,520,902,125,145,1083,13671,8306,-7455,-26,88,-4,0,0,639,13543,121,159,155,13543,1595,1547,1634,1576,0,0,0,0,0,0,0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7226,1207,1973,-216,-87,787,15441,18988,-4830,-112,143,-2,0,0,655,14230,91,188,219,14230,1605,1500,1686,1611,0,0,0,0,0,0,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7276,1472,2992,14,42,1204,17272,15325,-4220,-119,264,0,0,0,659,14404,45,35,231,14360,1565,1495,1698,1654,0,0,0,0,0,0,0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7326,1489,3713,-93,-99,1063,11107,2630,-7699,-137,317,-4,0,0,658,14360,170,277,231,14360,1600,1469,1678,1663,0,0,0,0,0,0,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7376,1918,2664,157,-99,825,20324,-360,-9835,-174,256,-4,0,0,658,14360,188,318,231,14360,1616,1536,1653,1620,0,0,0,0,0,0,0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7426,1994,2442,-109,142,1105,4515,-2740,-8798,-323,212,-4,-32,0,660,14448,119,216,240,14448,1566,1534,1672,1654,0,0,0,0,0,0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7476,1541,1725,-118,164,1272,-122,-8416,-8126,-347,151,-2,-44,0,659,14404,167,365,240,14448,1564,1458,1685,1703,0,0,0,0,0,0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7526,1064,811,-33,-173,937,-10559,-12384,-12033,-331,213,-4,-42,27,661,14491,190,388,244,14491,1622,1468,1665,1661,0,0,0,0,0,0,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7576,148,41,6,20,1372,-15625,-26666,-5990,-447,186,-4,-85,34,661,14491,210,446,244,14491,1549,1512,1660,1703,0,0,0,0,0,0,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7626,-774,-1050,34,-107,772,-20325,-21356,-6295,-306,28,-4,-70,21,662,14535,220,467,248,14535,1566,1464,1685,1701,0,0,0,0,0,0,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7676,-1455,-1606,-60,-86,1030,-7874,-5975,-9286,-126,-132,-2,-48,2,661,14491,271,535,248,14535,1556,1526,1694,1656,0,0,0,0,0,0,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7726,-1783,-1233,-12,-164,817,-4273,6781,-12460,-37,-103,-4,-34,2,661,14491,271,545,244,14491,1589,1488,1679,1666,0,0,0,0,0,0,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7776,-1652,-937,112,-48,1319,3112,433,-7882,36,-71,-4,-21,0,661,14491,348,637,244,14491,1540,1521,1686,1679,0,0,0,0,0,0,0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
