1003159 -22.231569 ␊
1003172 -22.997049 ␊
1003185 -23.577780 ␊
1003199 -24.151564 ␊
1003212 -24.507017 ␊
1003225 -24.650883 ␊
1003239 -24.763250 ␊
1003252 -24.663994 ␊
1003265 -24.366966 ␊
1003278 -24.035152 ␊
1003292 -23.510958 ␊
1003305 -22.800964 ␊
1003318 -22.072561 ␊
1003332 -21.191061 ␊
1003345 -20.122126 ␊
1003358 -19.039106 ␊
1003372 -17.853132 ␊
1003385 -16.534134 ␊
1003398 -15.190413 ␊
1003412 -13.799531 ␊
1003425 -12.339478 ␊
1003438 -10.858111 ␊
1003451 -9.388377 ␊
1003465 -7.925796 ␊
1003478 -6.492362 ␊
1003491 -5.086944 ␊
1003504 -3.729569 ␊
1003518 -2.399913 ␊
1003531 -1.173463 ␊
1003544 -0.053092 ␊
1003557 1.044872 ␊
1003570 2.000571 ␊
1003584 2.795598 ␊
1003597 3.574724 ␊
1003610 4.167954 ␊
1003623 4.575028 ␊
1003636 4.974147 ␊
1003649 5.172928 ␊
1003662 5.173234 ␊
1003675 5.173516 ␊
1003689 4.960414 ␊
1003702 4.545878 ␊
1003715 4.139858 ␊
1003728 3.547373 
