c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
4876,-1977,828,103,14,1083,-2097,4010,-5097,166,50,-4,-2,-6,638,13500,291,121,148,13458,1534,1507,1644,1650,-253,28,-73,8,-257,154,0,249,99,52,-34,147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5026,-687,664,27,-28,1075,-2952,-3130,-6439,50,56,-4,-1,-1,637,13458,295,-112,148,13458,1519,1501,1661,1653,-191,-384,-56,-113,-154,-402,122,141,-35,66,-28,156
5076,-747,-239,30,-80,795,-4050,2850,-5707,47,-15,-4,-1,0,639,13543,323,-65,152,13500,1519,1499,1666,1650,95,-614,30,-198,-56,-618,122,84,-96,69,-25,149
5126,-746,-47,87,-8,769,-3501,6268,-5341,67,1,-2,0,0,638,13500,303,251,152,13500,1506,1495,1669,1657,95,-614,28,-186,-56,-618,0,81,-151,70,-23,143
5176,-604,88,106,56,1066,99,8161,-6012,115,-69,-6,11,-16,638,13500,224,-134,128,13248,1500,1521,1635,1656,95,-614,21,-137,-56,-618,0,57,-205,71,-23,148
5226,-696,-138,240,6,922,4738,4010,-6989,319,-180,-2,50,-38,637,13458,359,23,148,13458,1517,1525,1657,1643,95,-614,34,-220,-56,-618,0,23,-208,71,-23,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,14360,314,-403,188,13884,1529,1485,1699,1651,194,-983,61,-308,199,-911,0,104,-293,67,-12,148,,,,,,,,,,,,,,
5726,59,477,-116,-1,968,2723,1996,-4669,9,32,-6,2,0,673,15022,302,-278,291,15022,1553,1524,1714,1681,194,-983,58,-296,199,-911,0,146,-304,68,-11,145
5776,22,325,-63,-93,1101,-1426,1203,-4730,2,200,-4,2,35,675,15112,323,-144,304,15157,1558,1514,1732,1677,194,-983,62,-317,199,-911,0,171,-284,71,-10,149
5826,115,45,-124,110,1110,1686,-10332,-5158,11,360,-2,2,72,676,15157,339,-65,304,15157,1528,1558,1718,1680,194,-983,65,-333,199,-911,0,226,-280,73,-10,151
5876,-82,-614,-29,-96,925,4310,-12468,-6256,183,369,-2,37,84,677,15202,306,-48,307,15202,1551,1544,1719,1676,194,-983,59,-300,199,-911,0,217,-263,76,-8,152
5926,348,-920,-118,116,1039,15785,-17962,-5585,262,368,-4,55,90,679,15291,302,-23,316,15291,1555,1517,1706,1703,194,-983,58,-296,199,-911,0,150,-227,78,-6,155
5976,1091,-1654,23,126,1209,21828,-29131,-5768,268,247,-4,69,76,680,15337,325,46,316,15291,1567,1505,1695,1724,764,-1337,248,-434,1234,-1619,0,90,-279,76,-1,157
6026,1622,-2297,85,-176,881,19081,-17656,-6928,189,43,-23,69,46,680,15337,336,1221,320,15337,1538,1498,1708,1736,764,-1337,256,-449,1234,-1619,0,134,-437,65,28,160
6076,2464,-2822,-3,122,855,16640,-6426,-4913,214,-105,-56,82,28,679,15291,342,119,311,15246,1521,1485,1727,1738,764,-1337,261,-457,1234,-1619,0,132,-408,62,29,159
6126,2819,-2225,9,-43,994,18532,-4961,-1618,195,-191,-146,88,0,677,15202,366,24,307,15202,1490,1429,1756,1764,764,-1337,279,-489,1234,-1619,0,98,-425,60,29,156
6176,3037,-1932,-49,-100,1081,16823,-261,3875,170,-169,-305,88,1,674,15067,371,110,300,15112,1460,1441,1771,1755,764,-1337,283,-496,1234,-1619,0,111,-410,57,32,160
6226,3270,-1434,4,60,1048,12611,6635,9795,177,-126,-381,91,0,674,15067,362,29,296,15067,1513,1454,1754,1723,764,-1337,276,-484,1234,-1619,0,110,-370,55,35,155
,15022,380,215,291,19,51,40,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,32671,14933,386,108,284,14933,1389,1372,1803,1791,764,-1337,295,-516,1234,-1619,0,125,-367,49,43,159,,,,,,,,,,,,,
6376,3257,-893,75,-94,878,7179,-2031,27800,222,-59,-714,104,2,670,14889,426,167,280,14889,1511,1478,1722,1728,764,-1337,325,-569,1234,-1619,0,125,-351,47,45,157
6426,3116,-568,-190,31,1014,12123,1935,22124,121,-59,-548,78,2,671,14933,434,188,284,14933,1554,1452,1722,1713,456,-361,197,-156,524,-327,0,149,-302,46,41,155
6476,3124,-405,-22,-53,1144,343,-2459,19866,-150,-30,-439,26,1,641,13628,434,300,168,13670,1552,1497,1654,1651,119,-239,51,-104,160,-64,0,141,-265,47,35,153
6526,2363,-656,72,82,741,-13328,-6914,10161,-191,-38,-171,2,1,640,13585,478,380,159,13585,1540,1515,1635,1658,358,207,171,99,428,550,0,136,-195,47,29,150
6576,1233,-1177,156,21,808,-14365,-12713,5584,-308,-72,-48,-39,1,639,13543,469,917,155,13543,1547,1479,1637,1674,255,373,120,175,346,712,112,184,-83,48,19,155
6626,482,-1368,-160,-127,1090,-18699,-3984,1250,-331,-128,-12,-53,1,640,13585,462,178,159,13585,1524,1499,1663,1653,255,373,118,172,346,712,0,199,-42,49,14,156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7176,-216,-378,43,116,1180,6203,3705,-2655,150,-115,-6,23,-16,673,15022,590,315,291,15022,1531,1500,1713,1717,-351,742,-207,437,-407,636,0,13,295,87,-63,153
7226,183,-9,-40,-41,1145,5409,2789,-3998,66,-82,-27,16,-15,674,15067,597,30,296,15067,1521,1490,1724,1721,-404,771,-241,460,-477,651,0,-21,356,90,-65,150
7276,402,53,-3,-62,1063,4982,6696,-2716,44,-71,-148,16,-14,654,14186,616,1447,291,15022,1422,1396,1789,1778,-568,846,-349,521,-709,709,132,-96,357,95,-69,154
7326,937,480,-40,42,1355,3639,6635,9307,197,-120,-362,55,-31,607,12220,615,311,27,12220,1478,1407,1690,1710,-560,726,-344,446,-721,585,153,-88,348,98,-71,154
7376,1198,231,213,11,796,7789,7794,11992,69,-256,-316,34,-60,580,11157,623,116,0,11157,1426,1330,1645,1652,-696,604,-433,376,-965,460,163,-120,360,104,-73,155
7426,1568,646,170,-38,917,-266,19757,12664,-102,-340,-265,8,-81,565,10588,620,878,0,10588,1397,1408,1588,1628,-667,639,-413,396,-988,598,0,-154,562,120,-93,156
7476,804,707,-58,-5,911,-7102,33917,10100,-43,-488,-245,6,-106,566,10625,2703,4660,0,10588,1391,1361,1658,1591,-918,746,-2481,2016,-1258,935,183,-194,712,135,-104,163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526,412,-2833,-74,-78,1179,38,-2520,-2777,-151,-149,-4,-21,21,679,15291,428,315,316,15291,1539,1472,1738,1731,-350,986,-150,422,-93,1174,0,-347,422,126,-71,157
8576,508,-2223,58,61,835,-3745,7855,-3265,-42,-173,-4,0,4,680,15337,4371,4219,320,15337,1523,1494,1740,1726,-350,986,-1532,4311,-93,1174,0,-393,705,130,-101,157
8626,132,-1511,-67,66,1081,1686,6268,-3510,16,-122,-4,4,4,677,15202,486,2083,307,15202,1560,1481,1713,1722,-350,986,-170,479,-93,1174,0,-402,681,127,-97,153
675,15112,128,-371,300,15112,1542,1475,1731,1715,-350,986,-44,126,-93,1174,0,-417,612,123,-91,152,,,,,,,,,,,,,,
8726,786,-423,-60,5,703,-2341,3949,-1801,41,-138,-4,22,-18,673,15022,510,-445,291,15022,1532,1502,1691,1743,-350,986,-179,504,-93,1174,0,-363,600,121,-88,154
8776,552,-378,195,22,733,1991,11273,-2472,34,-207,-4,16,-39,664,14623,561,155,255,14623,1519,1471,1721,1708,-350,986,-196,553,-93,1174,0,-384,572,119,-86,154
8826,644,175,51,5,907,3029,13776,-2228,24,-183,-2,16,-39,665,14667,574,-149,260,14667,1529,1472,1710,1711,-350,986,-201,566,-93,1174,0,-375,587,117,-86,152
8876,628,1122,-29,-27,867,1442,12677,-1862,11,-132,-2,13,-44,662,14535,613,45,255,14623,1523,1465,1725,1704,-350,986,-214,604,-93,1174,0,-337,619,115,-86,154
8926,647,1523,-72,-89,1095,3883,11762,-2899,8,-43,-4,14,-33,662,14535,611,35,248,14535,1522,1453,1750,1680,-350,986,-214,602,-93,1174,0,-359,614,114,-86,153
8976,669,1681,-102,13,984,2052,4132,-1740,68,130,-2,25,-1,667,14756,624,2939,267,14756,1523,1456,1732,1713,-350,986,-218,615,-93,1174,0,-339,636,112,-85,153
9026,999,1733,-114,-31,852,4555,-5755,-1740,38,136,-2,25,-1,664,14623,653,138,255,14623,1520,1463,1709,1721,-350,986,-228,644,-93,1174,0,-305,650,111,-85,154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9426,-3470,314,-78,-70,1192,-23093,104,-763,-296,31,-4,-117,2,639,13543,678,1096,155,13543,1500,1447,1682,1693,-115,114,-78,77,-76,380,112,-180,186,94,-41,155
9476,-3845,-600,134,-68,709,-18150,6329,-1190,-230,-30,-2,-111,1,640,13585,822,-29,159,13585,1484,1475,1686,1681,-115,114,-94,93,-76,380,0,-250,130,92,-39,155
9526,-4054,268,-77,-97,898,-15220,4682,29,-19,-11,-2,-72,-4,640,13585,3083,4106,159,13585,1489,1458,1689,1680,-115,114,-355,352,-76,380,0,-233,116,91,-38,154
9576,-3281,764,-94,139,846,-6126,-1421,823,37,32,-4,-53,-4,638,13500,177,-1001,152,13500,1492,1451,1689,1682,-115,114,-20,20,-76,380,0,-200,87,89,-38,150
9626,-3074,665,-177,-57,1008,5043,-4717,579,319,46,-4,9,0,637,13458,841,1783,148,13458,1505,1463,1676,1681,-12,-471,-10,-396,78,-765,132,-140,-67,88,-20,153
9676,-2186,-6,60,-77,971,18043,-6792,1616,239,8,-6,9,0,656,14273,861,-794,219,14230,1547,1454,1694,1693,-12,-471,-11,-406,78,-765,0,-118,-101,87,-16,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826,4,-419,168,65,796,6386,348,-397,59,-9,-4,9,1,655,14230,859,-402,219,14230,1516,1458,1704,1704,-269,-850,-231,-730,-303,-1046,173,-165,-260,82,-7,150
