c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503000,188,-168,-71,-54,914,-1004,966,2683,-19,-7,0,-39,79,0,0,62,-31,-1600,1550000,67,-70,11,-42,1038,1803,-1291,-1345,-5,-6,1603000,371,-415,9,68,837,-454,-1108,852,-32,-36,20000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650000,367,-219,-78,-64,1032,521,1577,729,-35,-15,2,-39,39,0,1703000,76,-197,44,12,1029,-2407,1027,-1589,-3,-20,2,39,-40,0,0,48,16,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750000,512,-216,-15,77,823,888,417,2255,-44,-18,2,0,0,0,0,42,24,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803000,183,-6,43,-120,1149,1620,-1474,-1284,-12,0,2,39,0,1850000,488,-223,15,127,949,-1980,-1047,241,-42,-15,2,0,39,0,0,69,33,-1600,0,1150000,1150000,1150000,1151903000,538,82,-55,-114,1014,1620,-1230,1523,-47,10,2,0,39,0,0,51,-9,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950000,98,-147,52,-25,939,-1065,661,-2871,-8,-9,2,0,39,0,0,54,,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003000,944,31,-71,88,1026,277,1699,1279,-85,6,2,-39,39,0,0,60,,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050000,263,90,17,-232,1062,-1309,1088,852,-23,11,4,0,39,0,0,68,-5,-30,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103000,509,43,-34,2150000,547,205,-88,-147,1184,460,2004,4636,-44,21,4,39,39,-45,0,58,0,-1600,0,1167000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203000,-94,37,21,96,1038,-637,234,-4702,8,6,2,0,39,0,0,34,-74,-60,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250000,461,-115,-14,120,927,1620,-2451,3232,-40,-3,2,0,79,0,0,57,-16,-75,0,1167000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303000,-349,58,39,-67,865,704,-1596,-1650,30,8,2,0,39,0,0,75,-24,-90,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000,26,-287,39,202,1093,-149,-253,-4274,1,-25,4,39,0,0,0,52,-47,-105,0,1150000,1150000,1150000,1157000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403000,-470,65,-103,-208,989,-3628,3835,3354,47,5,2,80,0,0,0,59,-31,-120,0,1150000,1198000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450000,-420,-159,100,168,1078,338,-1474,-7570,36,-6,2,0,79,0,0,61,7,-135,0,1150000,1150000,1183000,1212000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503000,-439,34,-136,-165,966,-2346,1210,6162,41,3,2,39,2550000,-625,-73,106,95,-150,1498,-3549,-6350,54,-2,42603000,-364,104,-62,-103,934,-1736,-864,7382,31,12,0,0,39,0,0,69,46,-1600,0,1176000,1216000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650000,-677,91,102,22,800,1193,-3732,-3969,59,11,-2,0,39,0,0,71,76,-165,0,1150000,1150000,1150000,1190000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703000,-190,-97,-35,-22,968,-88,-1352,6223,20,-8,-2,39,0,0,0,72,2,-180,0,1177000,1172000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750000,-749,131,8,-96,740,216,-2512,-1406,65,18,0,0,79,0,0,59,-35,-195,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803000,-244,-71,23,116,979,277,-1718,3354,17,-2,-2,-39,39,0,0,39,-17,-210,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
