1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550000,882,-1590,243,183,978,-23741,-37964,-5872,-195,213,0,-1359,4039,639,13543,166,303,155,13543,1521000,1534000,1622000,1667000,0,0,0,2603000,-711,-2920,-190,-84,1237,-14586,-10925,-2698,-32,-48,-2,-1079,2359,638,13500,210,302,152,13500,1550000,1542000,1629000,1625000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650000,-725,-2420,-277,68,927,-181,-5371,-4285,-27,-89,0,-1039,1399,639,13543,195,316,155,13543,1555000,1515000,1620000,1657000,0,0,0,2703000,-604,-1985,-19,-3,934,1160,-3052,-5506,-65,-75,-2,-1359,1120,638,13500,232,167,152,13500,1545000,1500000,1642000,1652000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750000,-77,-1962,84,54,931,672,2745,-8863,-118,-150,-2,-1439,240,638,13500,0,1524000,1468000,1673000,1662000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803000,-238,-1539,14,-110,931,-3416,13976,-6849,-35,-120,-8,-639,159,640,13585,202,182,159,13585,1510000,1504000,1682000,1637000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850000,-281,-601,87,-161,1296,-8909,15197,-7520,3,-35,-2,-239,200,639,13543,264,268,155,13543,1510000,1498000,1682000,1645000,0,0,0,2903000,-611,140,-92,-92,1098,-2928,3966,-5872,39,26,0,-159,159,640,13585,261,319,159,13585,1526000,1506000,1657000,1655000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950000,-183,25,-30,-12,1170,5250,-610,-5567,-25,12,-2,-479,119,639,13543,225,242,155,13543,1548000,1480000,1662000,1648000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003000,207,-89,110,-93,993,-1341,426,-5384,-115,-46,-2,-1119,-440,639,13543,206,-67,155,13543,1523000,1506000,1653000,1659000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050000,480,96,-11,35,767,-7139,10131,-4468,-247,-29,0,-3103000,-72,333,-16,-325,1051,-17393,7201,-6055,-192,-2,-2,-2279,-360,638,13500,304,180,152,13500,1496000,1513000,1669000,1654000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150000,-414,833,-100,-203,719,-9703,10619,-4102,-113,69,0,-1719,-39,638,13500,287,278,152,13500,1534000,1502000,1673000,1628000,0,0,0,3203000,-925,1104,-55,8,1283,-4698,1769,-4957,-37,92,0,-1359,-39,640,13585,261,103,159,13585,1525000,1495000,1664000,165,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250000,-639,894,-94,29,1096,-914,-8850,-4530,-34,74,-2,-1039,-39,638,13500,298,39,152,13500,1534000,1487000,1647000,1666000,0,0,0,0,3303000,-581,33,-61,-177,1118,-4515,-2319,-3675,-32,0,-2,-959,-39,641,13628,311,152,163,13628,1525000,1513000,1664000,1647000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
