2450000,-318,-277,-7,-29,928,-735,233,114,20,-24,0,-79,0,0,0,50,-1,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503000,76,447,-137,110,1089,1217,3406,541,-6,39,-2,0,0,0,0,44,-8,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550000,-107,-124,203,-109,997,-2017,-10,-2388,2,-10,-2,-79,0,0,0,68,5,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603000,-206,192,-185,130,1078,912,2186,663,18,16,0,0,0,0,0,60,10,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650000,136,42,119,-5,1024,-430,-682,1212,-15,7,2,-39,39,0,0,53,-4,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703000,-466,62,-72,-2,985,-1589,50,-1472,37,5,-2,-39,0,0,0,47,-2,-1600,0,1150000,1150000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750000,119,-28,99,157,1058,2560,-1109,-3975,-17,4,0,-79,79,0,0,50,33,-1600,0,1150000,1150000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803000,-512,270,-135,-167,931,-3543,3040,6461,41,23,-2,-39,0,0,0,58,2,-1600,0,1150000,1238000,1150000,1150000,0,0,0,0,2850000,-211,92,206,211,1095,4025,-5809,-8858,15,8,0,-39,0,0,0,62,1,-1600,0,1150000,1150000,1150000,1282903000,-345,239,-185,-186,933,-2932,-1231,13969,26,20,-2,-39,0,0,0,34,0,-1600,0,1256000,1318000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950000,-435,465,164,95,970,4208,-1292,-7088,34,44,0,-39,39,0,0,53,24,-1600,0,1150000,1150000,1175000,1207000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003000,-273,219,-185,-96,1015,-552,3040,12015,23,22,-6,0,39,0,0,75,24,-1600,0,1245000,1275000,1150000,1150000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
