IMU,SETUP,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,
15801000,5000,10000,0,-300,-1194,-27673,999,-10,-2,0,1139000,1144000,1143000,1137000,1498000,1499000,1141000,1495000,1998000,998000,0,0,0,0,0,0
16001000,5000,10000,0,129,-890,-27689,999,-7,1,0,1139000,1137000,1150000,1136000,1498000,1499000,1141000,1496000,1999000,998000,0,0,0,0,0,0
16201000,5000,10000,0,158,-910,-27673,999,-7,1,0,1134000,1154000,1143000,1131000,1498000,1499000,1141000,1496000,1998000,997000,0,0,0,0,0,0
16401000,5000,10000,0,-317,-1341,-27687,999,-11,-2,0,1140000,1153000,1140000,1133000,1497000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
16601000,5000,10000,0,-2,-876,-27694,999,-7,0,0,1144000,1131000,1147000,1144000,1498000,1498000,1142000,1496000,1998000,997000,0,0,0,0,0,0
16801000,5000,10000,0,448,-407,-27688,999,-3,3,0,1139000,1141000,1144000,1137000,1498000,1499000,1141000,1495000,2001000,998000,0,0,0,0,0,0
17001000,5000,10000,0,82,-827,-27698,999,-7,0,0,1127000,1155000,1143000,1137000,1498000,1499000,1141000,1496000,1999000,998000,0,0,0,0,0,0
17201000,5000,10000,0,-771,-1521,-27680,999,-13,-6,0,1132000,1154000,1140000,1136000,1498000,1499000,1141000,1496000,1999000,997000,0,0,0,0,0,0
17401000,5000,10000,0,-340,-1308,-27700,999,-11,-2,0,1146000,1136000,1146000,1134000,1498000,1498000,1141000,1496000,1998000,997000,0,0,0,0,0,0
17601000,5000,10000,0,454,-458,-27688,999,-4,3,0,1146000,1135000,1148000,1137000,1498000,1498000,1142000,1496000,2001000,997000,0,0,0,0,0,0
17801000,5000,10000,0,405,-489,-27689,999,-4,3,0,1139000,1155000,1139000,1132000,1498000,1499000,1142000,1495000,1998000,997000,0,0,0,0,0,0
18001000,5000,10000,0,-93,-1035,-27705,999,-9,0,0,1137000,1152000,1139000,1138000,1498000,1499000,1142000,1496000,1999000,996000,0,0,0,0,0,0
