,,,,,,,,
10201000,-107,37,26,21,1221,-1792,93,3090
10249000,13,-44,18,5,1052,-693,2535,-2890
10301000,-84,-263,55,-21,1070,405,-211,1259
10349000,-5,-238,-56,-39,891,-205,1497,-1059
10401000,-22,-296,38,-23,1054,-571,-638,-22
10449000,-249,-155,18,7,1034,649,-2103,1442
10501000,-183,3,8,7,1007,-449,643,-1425
10549000,-145,-38,2,22,1025,-205,399,588
10601000,-73,19,6,17,1001,405,93,-1669
10649000,-139,5,11,-6,983,343,-882,1564
10701000,-141,32,8,15,1002,-22,-1004,-2707
10749000,-45,95,-14,14,1033,466,-89,2114
10801000,-35,51,-6,-20,1035,-754,1070,-1731
10849000,-149,-60,-10,-5,1028,-266,277,1503
10901000,-128,-51,-9,0,1009,466,-89,-1486
10949000,-51,4,-4,8,1038,343,32,1381
11001000,22,27,5,6,1032,-632,643,-1242
11049000,-41,-89,0,-15,1011,-205,-150,1198
11101000,-107,-85,3,-2,1008,282,-89,-1425
11149000,-107,-58,7,6,1035,588,-333,832
11201000,-37,-12,10,11,1034,99,-455,-388
11249000,-29,3,23,26,1141,893,-1065,3212
11301000,42,137,-12,-14,1085,-876,1925,-3012
11349000,95,80,2,24,1029,649,-2164,3945
11401000,-137,106,-30,32,1089,466,-1187,-1486
11449000,-18,-47,10,8,897,893,-28,-2280
11501000,-116,23,-2,54,834,1198,-272,222
11549000,-146,-80,5,16,909,-571,338,-1181
11601000,-166,-78,16,-23,981,-693,-211,1870
11649000,-138,-78,-21,-1,1012,-22,887,-1975
11701000,-127,-74,-36,10,1016,832,93,954
11749000,-143,-114,17,-3,1011,405,277,-571
11801000,-177,-79,6,2,1006,-693,-333,-632
11849000,-103,-72,-11,5,1008,160,399,893
11901000,-96,-164,-14,-12,1023,343,521,-876
11949000,-84,-92,21,10,1020,466,-760,1320
12001000,-22,-40,7,-6,998,-449,154,-1975
12049000,-41,-88,5,-7,980,38,-28,1870
12101000,-22,-103,5,-4,1024,160,-272,-2097
12149000,-65,-133,-3,-13,1017,282,-272,1564
12201000,-73,-76,-11,8,1024,-22,216,-1303
12249000,-102,-135,-35,-31,961,160,-89,1076
12301000,-235,-77,2,-33,1248,282,-150,-1547
12349000,-244,-280,80,11,973,-1181,-2530,-1242
12401000,-127,-232,33,-43,895,-1242,-577,2053
12449000,-330,-212,-56,-32,1064,-327,826,-4233
12501000,-203,-312,-33,-15,975,649,399,4067
12549000,-219,-148,-21,9,1046,-1059,826,-2829
12601000,-125,-96,27,-13,967,-876,-1248,1870
12649000,-134,-109,32,2,1022,-632,-272,100
